PC,rho_age_ctrl_raw,p_age_ctrl_raw,rho_age_ctrl_oriented,p_age_ctrl_oriented,q_age_ctrl_oriented,rho_age_all_raw,p_age_all_raw,rho_age_all_oriented,p_age_all_oriented,explained_var_ratio,R2_age_ctrl,R2_age_plus_scanner_ctrl,deltaR2_scanner_ctrl,F_scanner_block_ctrl,df1_scanner_block_ctrl,df2_scanner_block_ctrl,p_scanner_block_ctrl,partial_r_age_given_scanner_ctrl,partial_p_age_given_scanner_ctrl
37,0.05444435693898925,0.5685799331455161,0.05444435693898925,0.5685799331455161,0.8637184023621773,-0.026637934189974073,0.6904045751536615,-0.026637934189974073,0.6904045751536615,0.0071726216774910985,0.00029587812015463566,0.00029587812015463566,0.0,,0,109,,-0.0024167556248754717,0.979823935106424
38,0.07929485686303243,0.4059322167499806,0.07929485686303243,0.4059322167499806,0.7806388783653474,0.08222578218777452,0.21818962326985608,0.08222578218777452,0.21818962326985608,0.006897161345441575,0.01333444829514796,0.01333444829514796,0.0,,0,109,,0.06539491506488591,0.4933158231458272
39,-0.1264200226864802,0.18410200889581083,0.1264200226864802,0.18410200889581083,0.5707710058255111,-0.10262010399267142,0.1239929645379531,0.10262010399267142,0.1239929645379531,0.006599152520381767,0.03136372035719326,0.03136372035719326,0.0,,0,109,,0.15361341395209105,0.1058638222473054
40,-0.04795047520739606,0.6156280121704092,0.04795047520739606,0.6156280121704092,0.8637184023621773,-0.04597185054200494,0.4916796019499693,0.04597185054200494,0.4916796019499693,0.00638419228245742,0.0013470838260173368,0.0013470838260173368,0.0,,0,109,,-0.0029935714539310004,0.9750098442183581
41,-0.0434851170668758,0.6489251411636897,0.0434851170668758,0.6489251411636897,0.8637184023621773,-0.04007149689416028,0.5489681403201847,0.04007149689416028,0.5489681403201847,0.0061450886604378216,0.0006320986052649191,0.0006320986052649191,0.0,,0,109,,-0.0020482388985170385,0.9828999571146515
42,-0.18324908937172005,0.053115595448358206,0.18324908937172005,0.053115595448358206,0.30984419828878873,-0.10248016004595353,0.12450924053315959,0.10248016004595353,0.12450924053315959,0.005824438477943532,0.012228336540239915,0.012228336540239915,0.0,,0,109,,0.10001494939985896,0.294077845267136
43,-0.06016505408983086,0.528593025753378,0.06016505408983086,0.528593025753378,0.852569396376416,-0.036103953982117236,0.5892467909359858,0.036103953982117236,0.5892467909359858,0.0057470822316381094,0.004298842403750669,0.004298842403750669,0.0,,0,109,,0.06367848343769425,0.504754923330538
44,-0.09703032115072135,0.3087937676187005,0.09703032115072135,0.3087937676187005,0.671290799171088,-0.11332238332921664,0.08919836419608237,0.11332238332921664,0.08919836419608237,0.005454499879156201,0.05340159847458825,0.05340159847458825,0.0,,0,109,,0.04941134533609756,0.6048976380959126
45,0.06628537473184744,0.4874357925904491,0.06628537473184744,0.4874357925904491,0.8404065389490503,0.006538286808732187,0.9221323928097426,0.006538286808732187,0.9221323928097426,0.005310953796623794,0.010011940851437529,0.010011940851437529,0.0,,0,109,,0.06551188903787106,0.49254126975110113
46,-0.10586113155896815,0.266617695931974,0.10586113155896815,0.266617695931974,0.6665442398299349,-0.09560442349400353,0.15198264756460236,0.09560442349400353,0.15198264756460236,0.005258396087905848,0.020042763662108,0.020042763662108,0.0,,0,109,,0.1361130322467002,0.15243194939370586
47,-0.11963076707010553,0.20898285563967653,0.11963076707010553,0.20898285563967653,0.5770149917065958,-0.13994077817568673,0.035512809547167117,0.13994077817568673,0.035512809547167117,0.004996216242431196,0.014862372825209302,0.014862372825209302,0.0,,0,109,,0.10636393631800642,0.2643400533300899
48,0.09869831485301687,0.30051143633625577,0.09869831485301687,0.30051143633625577,0.671290799171088,0.07240013285708467,0.2784533721101007,0.07240013285708467,0.2784533721101007,0.004821603695031309,0.03503027613166565,0.03503027613166565,0.0,,0,109,,0.1276856184061289,0.1797137979824539
49,-0.04022297313348017,0.6737003538424983,0.04022297313348017,0.6737003538424983,0.8637184023621773,0.00957797494951746,0.886137450688298,-0.00957797494951746,0.886137450688298,0.004603794548619194,0.00827147849892318,0.00827147849892318,0.0,,0,109,,0.002333919213035292,0.980515349360487
