ROI,weight
SurfArea_lh_supramarginal,-0.00011920570123043839
SurfArea_lh_transversetemporal,-0.0006023992724940676
SurfArea_rh_caudalanteriorcingulate,-0.0002765338060130664
SurfArea_rh_caudalmiddlefrontal,-0.00011659585745003634
SurfArea_rh_cuneus,-0.0002069506612131154
SurfArea_rh_entorhinal,-0.0005430631048409898
SurfArea_rh_fusiform,-0.00015336640402934256
SurfArea_rh_inferiorparietal,-8.872741433217217e-05
SurfArea_rh_inferiortemporal,-0.00014460698424527676
SurfArea_rh_insula,-0.0003425030187497457
SurfArea_rh_isthmuscingulate,-0.00043789067007457414
SurfArea_rh_lateraloccipital,-7.547652537154151e-05
SurfArea_rh_lateralorbitofrontal,-0.0002010985154314946
SurfArea_rh_lingual,-0.00012271785137586244
SurfArea_rh_medialorbitofrontal,-0.0004059878551468132
SurfArea_rh_middletemporal,-0.0001405610023705838
SurfArea_rh_paracentral,-0.0002471931498409282
SurfArea_rh_parahippocampal,-0.0005736833941960885
SurfArea_rh_parsopercularis,-0.00014730812965237542
SurfArea_rh_parsorbitalis,-0.00040633446220654957
SurfArea_rh_parstriangularis,-0.0001243422531163374
SurfArea_rh_pericalcarine,-0.00013014884714619137
SurfArea_rh_postcentral,-0.00014462458740661786
SurfArea_rh_posteriorcingulate,-0.0003709136560548079
SurfArea_rh_precentral,-0.00013419270243200334
SurfArea_rh_precuneus,-0.00013856984644616753
SurfArea_rh_rostralanteriorcingulate,-0.00033893360969748724
SurfArea_rh_rostralmiddlefrontal,-0.00010746187771730478
SurfArea_rh_superiorfrontal,-6.78999409530261e-05
SurfArea_rh_superiorparietal,-9.48829377527906e-05
SurfArea_rh_superiortemporal,-0.0001489917950076636
SurfArea_rh_supramarginal,-0.0001434464715434744
SurfArea_rh_transversetemporal,-0.0006760463347813415
ThickAvg_lh_caudalanteriorcingulate,-0.09931749799440885
ThickAvg_lh_caudalmiddlefrontal,-0.20403242182280948
ThickAvg_lh_cuneus,-0.21073503571665803
ThickAvg_lh_entorhinal,-0.01261063819917681
ThickAvg_lh_fusiform,-0.23634618960641338
ThickAvg_lh_inferiorparietal,-0.2350362149180698
ThickAvg_lh_inferiortemporal,-0.13760976508891415
ThickAvg_lh_insula,-0.2417361867499741
ThickAvg_lh_isthmuscingulate,0.012899401255242133
ThickAvg_lh_lateraloccipital,-0.3060502902968348
ThickAvg_lh_lateralorbitofrontal,-0.05325709330725198
ThickAvg_lh_lingual,-0.24045305021277746
ThickAvg_lh_medialorbitofrontal,-0.18474104308767975
ThickAvg_lh_middletemporal,-0.2231230146216005
ThickAvg_lh_paracentral,-0.15563119565455866
ThickAvg_lh_parahippocampal,-0.017072423959452982
ThickAvg_lh_parsopercularis,-0.20850879774037712
ThickAvg_lh_parsorbitalis,-0.06764420001688141
ThickAvg_lh_parstriangularis,-0.11649880602800311
ThickAvg_lh_pericalcarine,-0.06812483204046134
ThickAvg_lh_postcentral,-0.3239819655209033
ThickAvg_lh_posteriorcingulate,-0.25368470390899406
ThickAvg_lh_precentral,-0.2453409735252882
ThickAvg_lh_precuneus,-0.28368898968067213
ThickAvg_lh_rostralanteriorcingulate,-0.060806695709883125
ThickAvg_lh_rostralmiddlefrontal,-0.005612205854413067
ThickAvg_lh_superiorfrontal,-0.14681481873807573
ThickAvg_lh_superiorparietal,-0.25191782220675724
ThickAvg_lh_superiortemporal,-0.31401682536204367
ThickAvg_lh_supramarginal,-0.1364412394133145
ThickAvg_lh_transversetemporal,-0.12918773791114166
ThickAvg_rh_caudalanteriorcingulate,0.013254183747254244
ThickAvg_rh_caudalmiddlefrontal,-0.13250463307184907
ThickAvg_rh_cuneus,-0.2103770347461914
ThickAvg_rh_entorhinal,-0.019639461200576358
ThickAvg_rh_fusiform,-0.2812218760659153
ThickAvg_rh_inferiorparietal,-0.16725308114836263
ThickAvg_rh_inferiortemporal,-0.253426921214965
ThickAvg_rh_insula,-0.24028543598889834
ThickAvg_rh_isthmuscingulate,-0.09449740872216707
ThickAvg_rh_lateraloccipital,-0.3087434952468224
ThickAvg_rh_lateralorbitofrontal,-0.07529485974809268
ThickAvg_rh_lingual,-0.274752930218061
ThickAvg_rh_medialorbitofrontal,-0.12891029255409464
ThickAvg_rh_middletemporal,-0.13576591326786444
ThickAvg_rh_paracentral,-0.1546418800404828
ThickAvg_rh_parahippocampal,-0.062427507713292286
ThickAvg_rh_parsopercularis,-0.1634072561823118
ThickAvg_rh_parsorbitalis,-0.15464494269014376
ThickAvg_rh_parstriangularis,-0.07788144190743808
ThickAvg_rh_pericalcarine,-0.1059798357916161
ThickAvg_rh_postcentral,-0.31017601092194963
ThickAvg_rh_posteriorcingulate,-0.3018954165404522
ThickAvg_rh_precentral,-0.18577487187725084
ThickAvg_rh_precuneus,-0.33250278251102544
ThickAvg_rh_rostralanteriorcingulate,-0.06404436617064606
ThickAvg_rh_rostralmiddlefrontal,-0.07251653320332249
ThickAvg_rh_superiorfrontal,-0.11190970385433388
ThickAvg_rh_superiorparietal,-0.17650545393625733
ThickAvg_rh_superiortemporal,-0.25330238615024736
ThickAvg_rh_supramarginal,-0.20758433316052002
