PC,rho_age_ctrl_raw,p_age_ctrl_raw,rho_age_ctrl_oriented,p_age_ctrl_oriented,q_age_ctrl_oriented,rho_age_all_raw,p_age_all_raw,rho_age_all_oriented,p_age_all_oriented,explained_var_ratio,R2_age_ctrl,R2_age_plus_scanner_ctrl,deltaR2_scanner_ctrl,F_scanner_block_ctrl,df1_scanner_block_ctrl,df2_scanner_block_ctrl,p_scanner_block_ctrl,partial_r_age_given_scanner_ctrl,partial_p_age_given_scanner_ctrl
24,0.0010631870091351034,0.9910426335904783,0.0010631870091351034,0.9910426335904783,0.9925007630383892,0.030276465727930735,0.6449662266142602,0.030276465727930735,0.6449662266142602,0.009907210882154132,0.000910130640166873,0.0009232388103688205,1.3108170201947544e-05,0.0014432311692420081,1,110,0.969764609054955,0.012461279578992625,0.8957773166279914
25,-0.0726057826122147,0.4426724383486599,0.0726057826122147,0.4426724383486599,0.9925007630383892,-0.02005105558252661,0.7602821196666417,0.02005105558252661,0.7602821196666417,0.009695253369033383,0.003401027915172272,0.007821382540228239,0.004420354625055967,0.49007204972936347,1,110,0.48537309805654383,0.06283882270052453,0.508475944388588
26,0.07701512408420912,0.4153901317984825,0.07701512408420912,0.4153901317984825,0.9925007630383892,0.07188102592160914,0.2734740512900546,0.07188102592160914,0.2734740512900546,0.008913259691373175,0.005287010910011936,0.011477372067929537,0.006190361157917601,0.6888458676918917,1,110,0.408354842862342,0.10193416429295836,0.2826755379621788
27,0.03933791933799883,0.6777421466137563,0.03933791933799883,0.6777421466137563,0.9925007630383892,0.023076417785558072,0.7254700103645979,0.023076417785558072,0.7254700103645979,0.008895927582342287,0.015871026463679327,0.019841516956575544,0.003970490492896217,0.44559523972332354,1,110,0.5058321940886847,0.12036715386275523,0.20411437112182718
28,-0.0901483682629439,0.34015577775445704,0.0901483682629439,0.34015577775445704,0.9925007630383892,-0.037151466889641056,0.571760854524731,0.037151466889641056,0.571760854524731,0.008516876333933379,0.018702379098422983,0.023439244760880107,0.004736865662457124,0.533561501498899,1,110,0.4666662635763832,0.13035778833311817,0.16876128970224213
29,-0.017876376921039064,0.8502659750229511,0.017876376921039064,0.8502659750229511,0.9925007630383892,-0.03697347641238232,0.5736057057491087,0.03697347641238232,0.5736057057491087,0.008221862065003624,0.001781047198391783,0.00196173553804746,0.00018068833965567688,0.019914784903402028,1,110,0.8880334507209267,0.033769544261360473,0.7225257895547181
30,0.042675832041097414,0.6521069586786172,0.042675832041097414,0.6521069586786172,0.9925007630383892,0.049844948198317356,0.44793043227392004,0.049844948198317356,0.44793043227392004,0.007938882804428626,0.0014267919658367267,0.007505270279846488,0.006078478314009761,0.6736888313045282,1,110,0.41354367443575757,0.050443439937148934,0.5956980421221938
31,0.0031359895889605184,0.97358345635754,0.0031359895889605184,0.97358345635754,0.9925007630383892,-0.026380663463652684,0.688084852328072,-0.026380663463652684,0.688084852328072,0.00790963560370014,0.0009317664891028699,0.0018724303768064,0.00094066388770353,0.10366713714405339,1,110,0.7480836069935752,-0.010176613161454807,0.9148057672420693
32,-0.016940937188195393,0.8580169034370422,0.016940937188195393,0.8580169034370422,0.9925007630383892,-0.10789268748228051,0.09967895581074952,0.10789268748228051,0.09967895581074952,0.00748176804977064,0.005677836295861272,0.0060820984255558486,0.000404262129694577,0.0447409531470973,1,110,0.8328724770448811,-0.05132060744205626,0.5893103100149748
33,0.003482143498911483,0.9706688015427732,0.003482143498911483,0.9706688015427732,0.9925007630383892,-0.0399536271305486,0.543092637727786,-0.0399536271305486,0.543092637727786,0.00728285568752848,0.0024390435793555376,0.0141374146060399,0.011698371026684362,1.3052740128291347,1,110,0.25573276650645005,-0.1176061640686325,0.21476068733590536
34,0.1084780419708235,0.2506145280089613,0.1084780419708235,0.2506145280089613,0.9925007630383892,0.06884947688380665,0.294270353582485,0.06884947688380665,0.294270353582485,0.007149038094809114,0.005089674052054405,0.019084355165355338,0.013994681113300933,1.5693652462058607,1,110,0.2129558646177494,0.13571261901769333,0.15178793013864045
35,0.0370178639653513,0.6957818018655779,0.0370178639653513,0.6957818018655779,0.9925007630383892,0.005347804794001032,0.9351491457243649,0.005347804794001032,0.9351491457243649,0.006896435901190543,0.0020208601123513636,0.0020302879638579574,9.427851506593754e-06,0.0010391734871486311,1,110,0.9743420960550858,0.004990821749208657,0.9581592945895352
36,0.02675275218335307,0.7775265215199132,0.02675275218335307,0.7775265215199132,0.9925007630383892,0.013813298402231907,0.8335261552223889,0.013813298402231907,0.8335261552223889,0.0066560396366135395,0.0013302672171953134,0.016303105841852017,0.014972838624656704,1.6743086803397478,1,110,0.19839261884703663,0.08405677853851674,0.3760656125097914
37,-0.0533406691714914,0.5729940479163895,0.0533406691714914,0.5729940479163895,0.9925007630383892,0.005933650455780446,0.9280630219135335,-0.005933650455780446,0.9280630219135335,0.006498969308778608,0.004343805886214969,0.06608609750854033,0.06174229162232536,7.272246467621138,1,110,0.008104715016954422,0.17657028239306632,0.06136920843819693
38,0.029163466913368713,0.7580712716026144,0.029163466913368713,0.7580712716026144,0.9925007630383892,-0.009726656080786072,0.8823459619162101,-0.009726656080786072,0.8823459619162101,0.006390808240584867,0.000931285168952467,0.006400474109862664,0.005469188940910197,0.6054861821327419,1,110,0.43816293679903884,0.06649589686051587,0.4840667055810415
39,-0.03129808269139966,0.7409690849412899,0.03129808269139966,0.7409690849412899,0.9925007630383892,-0.04637365798140505,0.4802119542225971,0.04637365798140505,0.4802119542225971,0.005975766684931966,0.004888571212821269,0.008437307911018266,0.003548736698196997,0.393682658611604,1,110,0.5316702533831728,0.024754569745068008,0.794664187075075
40,0.11050963575184523,0.2417975567576093,0.11050963575184523,0.2417975567576093,0.9925007630383892,0.12230753658840289,0.061769671562642056,0.12230753658840289,0.061769671562642056,0.005708451164015148,0.02699736452574053,0.06051803510569387,0.03352067057995334,3.9247946225446633,1,110,0.05007455157459417,0.09263621925215576,0.32911998981120516
41,-0.060453307845007624,0.522864544680455,0.060453307845007624,0.522864544680455,0.9925007630383892,-0.06082324854431859,0.3542941051412073,0.06082324854431859,0.3542941051412073,0.005616405952586093,0.0026314758318461973,0.008717015469118627,0.00608553963727243,0.6752959251255192,1,110,0.41298888075450557,0.04755882622296888,0.6169206386433634
42,0.0008901100541596215,0.9925007630383893,0.0008901100541596215,0.9925007630383893,0.9925007630383892,-0.014080284118120007,0.8303566743635007,-0.014080284118120007,0.8303566743635007,0.005519764854487009,0.009228407310853726,0.014913736348542317,0.005685329037688591,0.6348542429447768,1,110,0.4272967024352565,0.015188768511100533,0.8731388130449098
43,-0.007178572751602133,0.9395762558515912,0.007178572751602133,0.9395762558515912,0.9925007630383892,-0.025353648891662455,0.6996289458321853,0.025353648891662455,0.6996289458321853,0.005241193494404872,0.0004290343436053057,0.0009070961170379865,0.00047806177343268086,0.05263453966414632,1,110,0.8189668355949123,0.013227655375697795,0.8894070323161931
44,-0.09307419297800561,0.3246493196021868,0.09307419297800561,0.3246493196021868,0.9925007630383892,-0.015158221099379449,0.8175884776465718,0.015158221099379449,0.8175884776465718,0.005144987871996562,0.0008293923018923843,0.07346541096567094,0.07263601866377856,8.623490312804291,1,110,0.004042234989862226,0.24344380946148905,0.00936911777153071
45,0.039395611656323985,0.6772958213161697,0.039395611656323985,0.6772958213161697,0.9925007630383892,0.05128076977556227,0.4349448076751887,0.05128076977556227,0.4349448076751887,0.004921786104138521,0.010882586304122421,0.015252827101420618,0.004370240797298197,0.488172498416822,1,110,0.486218233106788,0.11099647550442655,0.24183589357653856
46,-0.09435990750068061,0.31798113451120547,0.09435990750068061,0.31798113451120547,0.9925007630383892,-0.1506399084671306,0.021156639108014675,0.1506399084671306,0.021156639108014675,0.0048590756171290675,0.03014817165768191,0.03463497701061713,0.004486805352935219,0.5112559260688091,1,110,0.476110504731424,0.14790134958597578,0.11797193999156685
47,0.03609066599226836,0.7030397233531445,0.03609066599226836,0.7030397233531445,0.9925007630383892,-0.0044821238364244655,0.9456292191620841,-0.0044821238364244655,0.9456292191620841,0.004667528110963155,0.0009556939802006781,0.001187491894534598,0.00023179791433391994,0.025528084970716913,1,110,0.8733512502843825,0.006470830974435091,0.9457682996390324
48,-0.020381871888303184,0.8295779472991306,0.020381871888303184,0.8295779472991306,0.9925007630383892,0.01823640935314813,0.7814018595567122,-0.01823640935314813,0.7814018595567122,0.004455263161925837,0.01829367391445791,0.02269962772357237,0.00440595380911446,0.49591193531798516,1,110,0.4827900859346316,0.12273417211345193,0.19529326851818318
49,0.06790797954859447,0.4728204777848758,0.06790797954859447,0.4728204777848758,0.9925007630383892,0.08130833438155098,0.215282328905162,0.08130833438155098,0.215282328905162,0.004322901918131239,0.009233726610369142,0.021809836511250347,0.012576109900881205,1.4142159068162037,1,110,0.2369185189516122,0.14602884186168147,0.12274979938986119
