subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z,n_outlier_norms,n_outlier_sample_nonpar,n_outlier_sample_param,QC_metric
SUBJ_00349,12.17401555531686,7.6256640848630175,25.34855635324088,11.843101956806132,0.0028043842875106,37,39,25,29,2.5,2.4,3.3932123,3.3966076,-0.0558140766306912,-0.0043546782289225,-0.0020424400140423,5.0,1,3,2.360592601660576
SUBJ_00351,13.46253710541623,8.437521846511787,23.75255733373564,13.570501567493638,0.0027967536515748,51,37,37,40,2.3,2.8,3.3600605,3.2894819,0.0429684357904684,-0.0323665793052311,0.0117995095770745,1.0,0,1,4.244270839808502
SUBJ_00353,11.646582063723804,7.483472623354484,23.36710805392223,11.890827075933457,0.0028160812895033,45,49,28,29,2.0,2.3,3.3691232,3.256073,-0.037460876627025,0.0082280491209607,-0.0698764351984993,1.0,0,2,3.218089741572092
SUBJ_00358,14.473628820053392,9.162397388288506,23.91476977337537,13.398188755079095,0.0032959361417623,56,33,46,34,2.7,2.9,3.230151,3.3404899,0.0665902040302765,0.0131107893863999,-0.1288051240564131,1.0,0,5,4.60282157861855
SUBJ_00360,11.278676065726431,7.30311386216394,26.23786012818985,12.01510655877809,0.0031682255125258,21,33,20,16,1.1,7.7,3.264513,3.3033247,0.0381908383577075,-0.0263585727991347,0.0471519649358895,5.0,0,2,1.024579986766686
SUBJ_00362,10.361937805382256,6.934979604996398,24.05833547993109,12.97924293044579,0.0028736461681775,45,47,48,39,1.8,2.8,3.1751575,3.2470946,-0.0969996477551156,-0.0578457889773168,-0.0186103923334977,4.0,0,4,4.877976509060393
SUBJ_00365,10.958301785395022,7.716994760685981,25.156896873897967,12.299341852285778,0.0024926956729442,43,34,28,28,2.5,16.5,3.2221537,3.1445513,-0.3142696922699377,-0.0634897754857828,-0.0686344644211908,5.0,0,3,3.361109469322872
SUBJ_00371,12.910131471277603,7.749055344282922,24.524040758188622,11.88856827806934,0.0029185452685448,40,32,24,43,1.4,1.7,3.369996,3.3633375,0.0325103982709876,0.0314018190970887,-0.0226296181620685,1.0,3,8,2.673034700914388
SUBJ_00372,11.946562717572894,7.948103488308504,22.2049157404958,12.121998360280624,0.0022172943876305,36,37,32,29,1.9,2.2,3.169804,3.0762167,-0.1232952595878495,-0.0705215229590114,0.0450335306654591,8.0,6,12,3.5555407883939965
SUBJ_00374,12.080210994329642,7.721279157835479,25.336854185747164,11.287459302248848,0.0026332789195318,27,39,31,20,2.7,2.9,3.3782427,3.494425,-0.0249321575486148,0.0427137200126956,-0.0349074364265625,5.0,11,20,2.307639811681753
SUBJ_00375,10.671236967327124,7.310688841609557,24.87616916981825,12.186067076559972,0.0026185391026183,34,34,22,25,1.2,2.0,3.424166,3.3737032,-0.1466440951668133,-0.0349666342558388,0.0495046070206812,3.0,0,0,1.2764163425885553
SUBJ_00379,11.8042363234638,8.204794923183501,24.974487828915468,14.039683772298442,0.002935627200469,56,60,48,46,3.1,6.0,3.1149354,3.0658054,-0.0645073498161841,-0.0232441864141469,-0.0109427512801209,6.0,1,4,7.0066028502788615
SUBJ_00380,9.66290046565093,6.807066014465328,23.19151986166069,12.189053213053576,0.0028357278859889,47,38,36,38,3.4,8.3,3.117192,3.1237743,-0.1697191996575504,-0.0569209858449265,-0.0643089622288966,2.0,0,0,4.742655253425561
SUBJ_00381,16.62537890568902,9.398908444727274,28.885282303352948,13.268580821728964,0.002769442263524,40,49,39,27,1.8,2.4,3.3237302,3.1461656,0.1964740883197081,-0.0505905804019386,0.058888064265482,4.0,3,4,3.474079944515333
SUBJ_00383,14.173447075281093,8.623314825217406,21.643582742771702,13.62151293211095,0.0026814499435525,42,42,35,28,2.1,2.4,2.9951928,3.0876794,0.0508376719551131,0.1144235877270651,-0.0647971038509319,1.0,4,9,4.19877904062808
SUBJ_00385,13.05289200037295,8.460446547508665,23.403333548679985,12.579298430089633,0.0027482281423511,52,40,36,38,2.2,2.2,3.1816096,3.0926085,-0.1762662258376204,-0.075317042656765,0.054056928322321,3.0,1,5,4.31113890881754
SUBJ_00386,11.195565355036926,7.47581934900003,26.39201095379044,12.18029006572875,0.0032071157356379,39,30,29,29,2.1,2.9,3.3214977,3.2067804,-0.0638279361288805,0.0509967791534125,0.0677256100170968,4.0,0,2,2.3614606815716828
SUBJ_00388,11.523716230433378,7.335329385346073,24.45000920791119,12.402137789548185,0.0021263918075088,30,41,31,25,2.1,2.3,3.235636,3.1370065,-0.1631051872292564,-0.090585575738129,-0.0152545774270115,3.0,1,4,2.6510902714755087
SUBJ_00390,10.242501054907397,7.159655578127948,24.225521640656275,11.54695829552345,0.0023049048262473,49,56,38,38,2.9,7.9,3.113225,3.0953856,-0.1745296411684899,0.0191712507558812,-0.0006142594783794,4.0,0,2,5.277958791819539
SUBJ_00391,11.091292717540869,7.563816327618642,24.47057459866916,12.830313857571648,0.002655525748784,52,51,46,35,3.0,4.4,3.355666,3.220541,0.0090451823844685,0.0447092228196394,0.0054652633961882,9.0,5,23,5.72644631973192
SUBJ_00392,12.456367464371835,8.415935807085184,25.70826248516326,13.227204351828842,0.0022885092320921,35,33,27,22,3.0,5.1,3.3879538,3.2747598,-0.1190354165186923,-0.0018098236417526,0.0347269427179953,5.0,0,6,2.411211675262595
SUBJ_00393,11.531990696987252,7.343049897027274,23.29285536100774,13.178674121884116,0.0026474391660335,45,48,35,29,1.9,3.9,3.106528,3.0742912,0.055684615592078,0.0164339520841415,-0.0179113863832682,3.0,2,18,4.6505663468378975
SUBJ_00394,9.97967432030872,6.830145717667163,22.428168240773022,12.606132514327772,0.0023481420574436,34,39,34,30,2.0,3.4,3.3827922,3.333785,-0.1981839180929599,0.0764022685652615,-0.0032367699977045,3.0,1,7,2.708787168872016
SUBJ_00401,13.279867954081135,8.373218198765818,23.23285459475409,13.52370742291391,0.0029509977404525,33,33,26,27,3.2,4.6,3.122349,3.1699512,-0.0241941267643764,-0.0382917065012249,-0.0123727227793916,2.0,1,6,3.2609921376161397
SUBJ_00402,12.4234435569525,8.55370566230177,24.05509230741516,13.340603035910526,0.0026151008290739,44,56,46,53,2.9,5.9,3.143736,2.9919312,-0.0198965337162526,0.0933537846432579,-0.0205078880455271,6.0,1,7,6.664840156298501
SUBJ_00406,11.032231051867829,7.267541148486949,23.60433012046388,12.897257580198326,0.0022222365655158,55,38,44,29,2.6,3.8,3.26566,3.0934873,-0.1320947616733371,-0.049733431979435,0.0993500012241738,3.0,0,2,4.4267026576824176
SUBJ_00407,13.566501489639045,9.164011161751953,25.17718146779255,13.02058326152058,0.0027634735521837,25,39,31,26,1.6,2.0,3.272338,3.272257,-0.0922893598148058,0.0013483978607326,0.0361206880106744,5.0,0,2,2.266899614441211
SUBJ_00410,10.65405521856561,7.08382402356871,23.90064422408581,12.019005168737852,0.002203152592517,45,34,23,38,1.3,1.9,3.3198557,3.1712592,-0.203432571030817,-0.0153475350210026,0.1242215528465334,0.0,2,3,2.510292836772928
SUBJ_00411,12.349714346270808,7.633407028573818,25.29087171261488,11.865286301819149,0.0026433210487604,22,17,10,18,1.0,1.3,3.436482,3.458747,-0.0553267698595251,-0.0017152586541773,0.1108269450899573,4.0,0,1,-0.8246140533360788
SUBJ_00412,9.224082515907504,6.280799482853374,23.255301266518053,11.3347560020078,0.0027224774294346,38,47,27,32,2.3,2.6,3.2450953,3.1327856,-0.1082971666295369,0.0396373272135149,0.0652448039495128,0.0,0,4,3.193011621710758
SUBJ_00418,11.3654085405392,8.08612402819552,22.24857865655666,12.869160784796543,0.0030497136325232,40,49,41,30,3.3,12.9,3.1002936,3.0894454,-0.2323451606913328,0.0005010731156451,0.0034057972765905,6.0,3,9,5.189614482967444
SUBJ_00419,11.22553748706243,7.350417964040459,23.900412923987844,12.39830983258746,0.0029059955301916,50,40,33,35,1.7,2.5,3.156951,3.1808457,-0.0796938548353368,-0.0460882109996373,0.0363761016341686,5.0,2,5,3.995409942288547
SUBJ_00422,12.23055383679432,7.977736382014052,23.989565112285565,12.936040601786695,0.0026473834663026,38,49,35,36,1.8,2.1,3.3589368,3.2270799,-0.0120489290324003,-0.1022988297337277,-0.0592494880467975,6.0,1,5,3.960054797863084
SUBJ_00423,12.884364562300512,8.48228981187199,24.059464116952,12.540408578956235,0.0020655462197152,49,35,31,26,2.5,3.0,3.1997004,3.1636412,-0.1322655205270064,0.116975953231154,-0.0401718536288444,4.0,0,1,3.209214938581159
SUBJ_00426,14.54457881196724,8.87141347584284,25.288738099612186,13.186314075116664,0.0025699445304394,33,33,28,31,1.9,1.8,3.3018641,3.2926998,-0.0822799350153432,-0.0479554781189864,-0.0474920971097843,0.0,0,3,2.2900041079052618
SUBJ_00429,10.646182777668216,6.87730365682112,25.426376878995946,11.142510825260045,0.0025191977107562,20,23,18,18,2.1,3.0,3.5871205,3.5059786,-0.0561270088880048,0.0649079738738058,0.0158613679267405,4.0,0,0,-0.2084152498413883
SUBJ_00432,11.717221522205447,7.871137733887185,24.3303226243734,12.6174901611211,0.0027688164775435,51,39,33,31,2.5,3.9,3.1488886,3.1276362,-0.1572807649583628,-0.094072525475163,-0.1122711275497203,3.0,0,3,4.001277994794262
SUBJ_00435,12.934204220107286,8.141784053630454,22.586490159764004,12.82854990503238,0.0025983366114226,53,40,47,40,2.6,9.4,3.1604762,3.1421423,0.0362802680082545,-0.0017605025269126,0.0329262415198633,6.0,5,13,6.025975810067978
SUBJ_00439,10.36169619154813,7.30093521274924,25.15406291188561,11.591654379059666,0.0033290736421519,49,37,27,28,2.8,4.8,3.5447612,3.409711,-0.0839835827599008,0.0416984168078669,0.0256068763338153,5.0,3,10,2.8129556195760665
SUBJ_00442,11.876195595489497,7.920845508965857,22.74797255958162,12.969846532856527,0.0022962480441371,34,40,43,35,1.8,2.7,3.0822015,3.182221,-0.1432759357289877,-0.1179453834156873,0.0281357255816469,2.0,0,0,4.009633856130894
SUBJ_00445,11.049628109095098,7.307551159015798,25.013956075315,12.387156871320514,0.0027588042757883,21,30,22,16,2.7,3.4,3.388145,3.2065697,-0.1261076128781441,0.0058661511776662,0.0077478437061695,4.0,1,3,1.073896544953682
SUBJ_00453,10.811839678163194,7.242338423496184,23.70312009800967,11.87634086651178,0.0024219311891074,43,41,36,40,1.5,1.6,3.096534,3.1778836,-0.0374422998113689,0.0140244018767094,0.0125267238466747,2.0,0,1,4.111779582846184
SUBJ_00454,14.365848565636954,9.454762556749657,24.21117539983413,13.515894997767695,0.0025103959354833,48,51,34,36,1.7,2.4,3.3503654,3.2182715,-0.091972109310277,-0.0251382706765054,0.0281635090760374,2.0,0,1,4.071096686107099
SUBJ_00455,15.666249619200284,8.987828513005041,23.869529535007995,13.194850851135984,0.0027432289823619,42,39,25,36,1.9,4.0,3.3038166,3.1380444,0.1633223598813138,-0.0289952419266299,-0.0717502993139304,5.0,10,22,3.877407867137238
SUBJ_00456,13.520959331395533,8.871955390653998,24.038882132803888,13.087237246977942,0.0025204575566034,36,27,21,26,1.9,2.6,3.3241446,3.1738443,-0.0163441823347736,0.0450231592615645,-0.0683941738885265,4.0,2,8,2.190901446751872
SUBJ_00457,10.98459840951103,7.949526413437425,24.34019015767474,12.231163279869778,0.0026191523328779,27,19,17,11,1.8,4.1,3.346659,3.1910503,-0.121243694138246,0.0319201061096711,0.0888932371023537,3.0,0,2,0.3618456896668481
SUBJ_00458,11.592338717717722,7.588074165955468,23.71394767054101,11.883041403351736,0.0028439262610479,38,32,24,23,1.7,2.6,3.1562662,3.2356203,-0.0616755323346987,-0.065337377560965,-0.0029510439095361,3.0,2,11,2.408492711318532
